Word;ExampleSentence;WordPOS;TranslationWord;TranslationSentence
bomba;La {{c1::bomba}} è esplosa.;noun, feminine, singular;bomb;The bomb exploded.
frequentare;{{c1::Frequentare}} l'università è importante.;verb, infinitive;attend;Attending university is important.
come lo sa?;{{c1::Come lo sa?}} che sono qui?;phrase;how does he know?;How does he know that I'm here?
reso;Ho {{c1::reso}} il libro alla biblioteca.;verb, past participle, masculine, singular;returned;I returned the book to the library.
gareggiare;Vuole {{c1::gareggiare}} nella corsa.;verb, infinitive;compete;He wants to compete in the race.
rischiando;{{c1::Rischiando}} tutto, ha investito i suoi soldi.;verb, gerundio;risking;Risking everything, he invested his money.
lascia;{{c1::Lascia}} la porta aperta.;verb, 3rd person singular, presente;leave;Leave the door open.
goditi;{{c1::Goditi}} la vacanza!;verb, 2nd person singular, imperativo;enjoy;Enjoy your vacation!
riassunto;Il {{c1::riassunto}} del libro è breve.;noun, masculine, singular;summary;The book summary is brief.
prova;Questa è una {{c1::prova}} difficile.;noun, feminine, singular;test;This is a difficult test.
spezzato;Il vetro è {{c1::spezzato}}.;verb, past participle, masculine, singular;broken;The glass is broken.
ancora;{{c1::Ancora}} non ho finito.;adv;still;I still haven't finished.
crettino;Non essere un {{c1::crettino}}.;noun, masculine, singular;idiot;Don't be an idiot.
devo;{{c1::Devo}} studiare per l'esame.;verb, 1st person singular, presente;must;I must study for the exam.
incontrare;Domani {{c1::incontrare}} i miei amici.;verb, infinitive;meet;Tomorrow I will meet my friends.
fico;Questo frutto è molto {{c1::fico}}.;adj, masculine, singular;cool;This fruit is very cool.
navicelle;Le {{c1::navicelle}} spaziali sono costose.;noun, feminine, plural;spacecraft;Spacecraft are expensive.
fisso;Il prezzo è {{c1::fisso}}.;adj, masculine, singular;fixed;The price is fixed.
sballo;È stato un grande {{c1::sballo}}.;noun, masculine, singular;blast;It was a great blast.
eppure;{{c1::Eppure}} non ha studiato.;conj;yet;Yet he didn't study.
mandato;Ho {{c1::mandato}} una lettera.;verb, past participle, masculine, singular;sent;I sent a letter.
scopi;I suoi {{c1::scopi}} sono chiari.;noun, masculine, plural;goals;His goals are clear.
tutta da sola;L'ha fatto {{c1::tutta da sola}}.;phrase;all by herself;She did it all by herself.
fosse;Se {{c1::fosse}} più alto, giocherebbe a basket.;verb, 3rd person singular, congiuntivo imperfetto;were;If he were taller, he would play basketball.
tutto qui;È {{c1::tutto qui}}.;phrase;that's all;That's all.
allegria;La {{c1::allegria}} è contagiosa.;noun, feminine, singular;joy;Joy is contagious.
parente;Il mio {{c1::parente}} abita a Roma.;noun, masculine, singular;relative;My relative lives in Rome.
pedalare;{{c1::Pedalare}} fa bene alla salute.;verb, infinitive;pedal;Pedaling is good for your health.
nipote;La mia {{c1::nipote}} ha cinque anni.;noun, feminine, singular;niece;My niece is five years old.
cose e successo;{{c1::Cose e successo}} nella vita.;phrase;things and success;Things and success in life.
osceni;Quei gesti sono {{c1::osceni}}.;adj, masculine, plural;obscene;Those gestures are obscene.
stronzo;Non essere uno {{c1::stronzo}}.;noun, masculine, singular;asshole;Don't be an asshole.
scordato;Ho {{c1::scordato}} le chiavi.;verb, past participle, masculine, singular;forgotten;I forgot the keys.
lottavi;{{c1::Lottavi}} per i tuoi diritti.;verb, 2nd person singular, imperfetto;fought;You fought for your rights.
troppo;È {{c1::troppo}} tardi.;adv;too;It's too late.
brava;Sei molto {{c1::brava}} in matematica.;adj, feminine, singular;good;You're very good at math.
davanti;{{c1::Davanti}} alla casa c'è un giardino.;prep;in front of;In front of the house there's a garden.
sorridevamo;{{c1::Sorridevamo}} guardando le foto.;verb, 1st person plural, imperfetto;we were smiling;We were smiling while looking at the photos.
nittu;{{c1::Nittu}} è una parola dialettale.;noun, masculine, singular;night;Nittu is a dialectal word.
lutto;La famiglia è in {{c1::lutto}}.;noun, masculine, singular;mourning;The family is in mourning.
debosciata;È una persona {{c1::debosciata}}.;adj, feminine, singular;depraved;She's a depraved person.
vattene;{{c1::Vattene}} via!;verb, 2nd person singular, imperativo;go away;Go away!
spaventare;Non {{c1::spaventare}} il bambino.;verb, infinitive;scare;Don't scare the child.
bugiarda;È una {{c1::bugiarda}}.;noun, feminine, singular;liar;She's a liar.
stavamo;{{c1::Stavamo}} parlando quando è arrivato.;verb, 1st person plural, imperfetto;we were;We were talking when he arrived.
amati;I bambini sono {{c1::amati}} dai genitori.;verb, past participle, masculine, plural;loved;Children are loved by their parents.
somiglia;{{c1::Somiglia}} molto a sua madre.;verb, 3rd person singular, presente;resembles;He resembles his mother a lot.
ladro;Il {{c1::ladro}} è stato arrestato.;noun, masculine, singular;thief;The thief was arrested.
baglia;La {{c1::baglia}} è rotta.;noun, feminine, singular;bucket;The bucket is broken.
cacchio;{{c1::Cacchio}} che bello!;interj;damn;Damn, how beautiful!
ricordare;Non riesco a {{c1::ricordare}} il suo nome.;verb, infinitive;remember;I can't remember his name.
consigli;I suoi {{c1::consigli}} sono sempre utili.;noun, masculine, plural;advice;His advice is always useful.
fermiamo;{{c1::Fermiamo}} qui per pranzo.;verb, 1st person plural, presente;let's stop;Let's stop here for lunch.
entrambi;{{c1::Entrambi}} i bambini giocano.;pronoun, masculine, plural;both;Both children are playing.
subito;Vieni {{c1::subito}} qui!;adv;immediately;Come here immediately!
pomata;Metti la {{c1::pomata}} sulla ferita.;noun, feminine, singular;ointment;Put the ointment on the wound.
spalle;Le mie {{c1::spalle}} fanno male.;noun, feminine, plural;shoulders;My shoulders hurt.
la salute;{{c1::La salute}} è importante.;noun, feminine, singular;health;Health is important.
devi;{{c1::Devi}} studiare di più.;verb, 2nd person singular, presente;you must;You must study more.
equilibrio;Mantieni l'{{c1::equilibrio}}.;noun, masculine, singular;balance;Keep your balance.
salute;{{c1::Salute}} a tutti!;noun, feminine, singular;health;Cheers everyone!
alcol;L'{{c1::alcol}} fa male.;noun, masculine, singular;alcohol;Alcohol is bad for you.
consigliare;Ti {{c1::consigliare}} di riposare.;verb, infinitive;advise;I advise you to rest.
schermi;Gli {{c1::schermi}} sono troppo piccoli.;noun, masculine, plural;screens;The screens are too small.
ospedale;Vado all'{{c1::ospedale}}.;noun, masculine, singular;hospital;I'm going to the hospital.
pronto soccorso;Il {{c1::pronto soccorso}} è al primo piano.;noun, masculine, singular;emergency room;The emergency room is on the first floor.
studio medico;Il {{c1::studio medico}} è chiuso.;noun, masculine, singular;medical practice;The medical practice is closed.
ambulatorio;L'{{c1::ambulatorio}} apre alle nove.;noun, masculine, singular;clinic;The clinic opens at nine.
farmacia;La {{c1::farmacia}} è in centro.;noun, feminine, singular;pharmacy;The pharmacy is downtown.
ricetta medica;Ho la {{c1::ricetta medica}}.;noun, feminine, singular;medical prescription;I have the medical prescription.
medicine;Le {{c1::medicine}} sono costose.;noun, feminine, plural;medicines;Medicines are expensive.
farmaci;I {{c1::farmaci}} sono nel cassetto.;noun, masculine, plural;medications;The medications are in the drawer.
prescrizione;La {{c1::prescrizione}} è scaduta.;noun, feminine, singular;prescription;The prescription has expired.
piramide alimentare;La {{c1::piramide alimentare}} mostra i cibi sani.;noun, feminine, singular;food pyramid;The food pyramid shows healthy foods.
solito;Come {{c1::solito}}, arriva tardi.;adj, masculine, singular;usual;As usual, he arrives late.
salutari;I cibi {{c1::salutari}} sono importanti.;adj, masculine, plural;healthy;Healthy foods are important.
roba;Questa {{c1::roba}} non serve.;noun, feminine, singular;stuff;This stuff is useless.
fidanzato;Il mio {{c1::fidanzato}} è gentile.;noun, masculine, singular;boyfriend;My boyfriend is kind.
soprattutto;{{c1::Soprattutto}} la matematica.;adv;especially;Especially mathematics.
per lo più;{{c1::Per lo più}} vado in bici.;phrase;mostly;I mostly go by bike.
comune;È un problema {{c1::comune}}.;adj, masculine, singular;common;It's a common problem.
almeno;{{c1::Almeno}} tre persone.;adv;at least;At least three people.
tradizioni;Le {{c1::tradizioni}} sono importanti.;noun, feminine, plural;traditions;Traditions are important.
malpasto;Il {{c1::malpasto}} è stato terribile.;noun, masculine, singular;bad meal;The bad meal was terrible.
prospettive;Le {{c1::prospettive}} sono buone.;noun, feminine, plural;prospects;The prospects are good.
vi chiedo;{{c1::Vi chiedo}} di aspettare.;phrase;I ask you;I ask you to wait.
per niente;Non mi piace {{c1::per niente}}.;phrase;not at all;I don't like it at all.
mettere;{{c1::Mettere}} i libri sulla scrivania.;verb, infinitive;put;Put the books on the desk.
panna;La {{c1::panna}} è fresca.;noun, feminine, singular;cream;The cream is fresh.
tradurre;Devo {{c1::tradurre}} questo testo.;verb, infinitive;translate;I need to translate this text.
mescola;{{c1::Mescola}} gli ingredienti.;verb, 2nd person singular, imperativo;mix;Mix the ingredients.
compra;{{c1::Compra}} il pane.;verb, 2nd person singular, imperativo;buy;Buy the bread.
taglia;Che {{c1::taglia}} porti?;noun, feminine, singular;size;What size do you wear?
prendi;{{c1::Prendi}} le chiavi.;verb, 2nd person singular, imperativo;take;Take the keys.
metti;{{c1::Metti}} il cappotto.;verb, 2nd person singular, imperativo;put on;Put on your coat.
arriviamo;{{c1::Arriviamo}} domani.;verb, 1st person plural, presente;we arrive;We arrive tomorrow.
viso;Il suo {{c1::viso}} è bello.;noun, masculine, singular;face;His face is beautiful.
uguale;Sono {{c1::uguale}}.;adj, masculine, singular;equal;They are equal.
scherzo;È uno {{c1::scherzo}}.;noun, masculine, singular;joke;It's a joke.
delitto;Il {{c1::delitto}} è grave.;noun, masculine, singular;crime;The crime is serious.
arrabbiato;Sono {{c1::arrabbiato}}.;adj, masculine, singular;angry;I'm angry.
sarà;{{c1::Sarà}} una bella giornata.;verb, 3rd person singular, futuro;will be;It will be a beautiful day.
preoccuparti;Non {{c1::preoccuparti}}.;verb, infinitive;worry;Don't worry.
supposizione;È solo una {{c1::supposizione}}.;noun, feminine, singular;supposition;It's just a supposition.
esprimere;Devo {{c1::esprimere}} la mia opinione.;verb, infinitive;express;I need to express my opinion.
incerto;Il risultato è {{c1::incerto}}.;adj, masculine, singular;uncertain;The result is uncertain.
dubbio;Ho un {{c1::dubbio}}.;noun, masculine, singular;doubt;I have a doubt.
parare;Devo {{c1::parare}} il colpo.;verb, infinitive;parry;I need to parry the blow.
capito;Ho {{c1::capito}} tutto.;verb, past participle, masculine, singular;understood;I understood everything.
spesso;Vado {{c1::spesso}} al cinema.;adv;often;I often go to the cinema.
sottocutaneo;L'iniezione è {{c1::sottocutaneo}}.;adj, masculine, singular;subcutaneous;The injection is subcutaneous.
pelle;La {{c1::pelle}} è sensibile.;noun, feminine, singular;skin;The skin is sensitive.
collegato;Il computer è {{c1::collegato}}.;verb, past participle, masculine, singular;connected;The computer is connected.
corrente;La {{c1::corrente}} è forte.;noun, feminine, singular;current;The current is strong.
scaricheremo;{{c1::Scaricheremo}} i file domani.;verb, 1st person plural, futuro;we will download;We will download the files tomorrow.
chiavetta;Ho perso la {{c1::chiavetta}}.;noun, feminine, singular;USB stick;I lost the USB stick.
gireremo;{{c1::Gireremo}} il film.;verb, 1st person plural, futuro;we will shoot;We will shoot the film.
credo;{{c1::Credo}} che sia vero.;verb, 1st person singular, presente;I believe;I believe it's true.
pericolo;C'è {{c1::pericolo}}.;noun, masculine, singular;danger;There is danger.
rabbatte;{{c1::Rabbatte}} il cappello.;verb, 2nd person singular, imperativo;pull down;Pull down your hat.
eravamo;{{c1::Eravamo}} in vacanza.;verb, 1st person plural, imperfetto;we were;We were on vacation.
accordo;Siamo d'{{c1::accordo}}.;noun, masculine, singular;agreement;We are in agreement.
secondo;{{c1::Secondo}} me, hai ragione.;prep;according to;According to me, you're right.
tolgono;{{c1::Tolgono}} i piatti.;verb, 3rd person plural, presente;they remove;They remove the dishes.
fattori;I {{c1::fattori}} sono importanti.;noun, masculine, plural;factors;The factors are important.
minoranze linguistiche;Le {{c1::minoranze linguistiche}} sono protette.;noun, feminine, plural;linguistic minorities;Linguistic minorities are protected.
ceppo linguistico;Il {{c1::ceppo linguistico}} è antico.;noun, masculine, singular;language family;The language family is ancient.
eredità;La {{c1::eredità}} è grande.;noun, feminine, singular;heritage;The heritage is great.
eliminare;Devo {{c1::eliminare}} questo file.;verb, infinitive;eliminate;I need to eliminate this file.
cancellare;{{c1::Cancellare}} il testo.;verb, infinitive;delete;Delete the text.
diversi;Abbiamo {{c1::diversi}} libri.;adj, masculine, plural;several;We have several books.
espetta;{{c1::Espetta}} un momento.;verb, 2nd person singular, imperativo;wait;Wait a moment.
lingue di minoranza;Le {{c1::lingue di minoranza}} sono tutelate.;noun, feminine, plural;minority languages;Minority languages are protected.
linguaggio dei segni;Il {{c1::linguaggio dei segni}} è importante.;noun, masculine, singular;sign language;Sign language is important.
aggiungere;Devo {{c1::aggiungere}} il sale.;verb, infinitive;add;I need to add salt.
ungherese;Parlo {{c1::ungherese}}.;adj, masculine, singular;Hungarian;I speak Hungarian.
contre;{{c1::Contre}} la parete.;prep;against;Against the wall.
istruzione;L'{{c1::istruzione}} è gratuita.;noun, feminine, singular;education;Education is free.
riguarda;Questo {{c1::riguarda}} tutti.;verb, 3rd person singular, presente;concerns;This concerns everyone.
rivedremo;{{c1::Rivedremo}} il progetto.;verb, 1st person plural, futuro;we will review;We will review the project.
davvero;È {{c1::davvero}} bello.;adv;really;It's really beautiful.
ulivi e vigneti;Gli {{c1::ulivi e vigneti}} sono tipici.;noun, masculine, plural;olive trees and vineyards;Olive trees and vineyards are typical.
rompigetto;Il {{c1::rompigetto}} è rotto.;noun, masculine, singular;faucet aerator;The faucet aerator is broken.
arredamento;L'{{c1::arredamento}} è moderno.;noun, masculine, singular;furniture;The furniture is modern.
immobili;Gli {{c1::immobili}} sono costosi.;noun, masculine, plural;real estate;Real estate is expensive.
cascina;La {{c1::cascina}} è antica.;noun, feminine, singular;farmhouse;The farmhouse is old.
condominio;Vivo in un {{c1::condominio}}.;noun, masculine, singular;condominium;I live in a condominium.
villetta a schiera;La {{c1::villetta a schiera}} è nuova.;noun, feminine, singular;townhouse;The townhouse is new.
palazzo;Il {{c1::palazzo}} è alto.;noun, masculine, singular;building;The building is tall.
sogni;I {{c1::sogni}} sono belli.;noun, masculine, plural;dreams;Dreams are beautiful.
albero;L'{{c1::albero}} è grande.;noun, masculine, singular;tree;The tree is big.
abbastanza;Sono {{c1::abbastanza}} stanco.;adv;quite;I'm quite tired.
vicino;Abito {{c1::vicino}} alla scuola.;adv;near;I live near the school.
scegliamo;{{c1::Scegliamo}} il ristorante.;verb, 1st person plural, presente;we choose;We choose the restaurant.
tanto;{{c1::Tanto}} tempo fa.;adv;so long;So long ago.
segreteria;La {{c1::segreteria}} è chiusa.;noun, feminine, singular;secretariat;The secretariat is closed.
segretaria;La {{c1::segretaria}} è efficiente.;noun, feminine, singular;secretary;The secretary is efficient.
macchina da scrivere;La {{c1::macchina da scrivere}} è vecchia.;noun, feminine, singular;typewriter;The typewriter is old.
registratore vocale;Il {{c1::registratore vocale}} funziona.;noun, masculine, singular;voice recorder;The voice recorder works.
