Word;ExampleSentence;WordPOS;TranslationWord;TranslationSentence;TTSSentence;Audio
bomba;La {{c1::bomba}} è esplosa.;noun, feminine, singular;bomb;The bomb exploded.;La bomba è esplosa.;
frequentare;{{c1::Frequentare}} l'università è importante.;verb, infinitive;attend;Attending university is important.;Frequentare l'università è importante.;
come lo sa?;{{c1::Come lo sa?}} che sono qui?;phrase;how does he know?;How does he know that I'm here?;Come lo sa? che sono qui?;
reso;Ho {{c1::reso}} il libro alla biblioteca.;verb, past participle, masculine, singular;returned;I returned the book to the library.;Ho reso il libro alla biblioteca.;
gareggiare;Vuole {{c1::gareggiare}} nella corsa.;verb, infinitive;compete;He wants to compete in the race.;Vuole gareggiare nella corsa.;
rischiando;{{c1::Rischiando}} tutto, ha investito i suoi soldi.;verb, gerundio;risking;Risking everything, he invested his money.;Rischiando tutto, ha investito i suoi soldi.;
lascia;{{c1::Lascia}} la porta aperta.;verb, 3rd person singular, presente;leave;Leave the door open.;Lascia la porta aperta.;
goditi;{{c1::Goditi}} la vacanza!;verb, 2nd person singular, imperativo;enjoy;Enjoy your vacation!;Goditi la vacanza!;
riassunto;Il {{c1::riassunto}} del libro è breve.;noun, masculine, singular;summary;The book summary is brief.;Il riassunto del libro è breve.;
prova;Questa è una {{c1::prova}} difficile.;noun, feminine, singular;test;This is a difficult test.;Questa è una prova difficile.;
spezzato;Il vetro è {{c1::spezzato}}.;verb, past participle, masculine, singular;broken;The glass is broken.;Il vetro è spezzato.;
ancora;{{c1::Ancora}} non ho finito.;adv;still;I still haven't finished.;Ancora non ho finito.;
crettino;Non essere un {{c1::crettino}}.;noun, masculine, singular;idiot;Don't be an idiot.;Non essere un crettino.;
devo;{{c1::Devo}} studiare per l'esame.;verb, 1st person singular, presente;must;I must study for the exam.;Devo studiare per l'esame.;
incontrare;Domani {{c1::incontrare}} i miei amici.;verb, infinitive;meet;Tomorrow I will meet my friends.;Domani incontrare i miei amici.;
fico;Questo frutto è molto {{c1::fico}}.;adj, masculine, singular;cool;This fruit is very cool.;Questo frutto è molto fico.;
navicelle;Le {{c1::navicelle}} spaziali sono costose.;noun, feminine, plural;spacecraft;Spacecraft are expensive.;Le navicelle spaziali sono costose.;
fisso;Il prezzo è {{c1::fisso}}.;adj, masculine, singular;fixed;The price is fixed.;Il prezzo è fisso.;
sballo;È stato un grande {{c1::sballo}}.;noun, masculine, singular;blast;It was a great blast.;È stato un grande sballo.;
eppure;{{c1::Eppure}} non ha studiato.;conj;yet;Yet he didn't study.;Eppure non ha studiato.;
mandato;Ho {{c1::mandato}} una lettera.;verb, past participle, masculine, singular;sent;I sent a letter.;Ho mandato una lettera.;
scopi;I suoi {{c1::scopi}} sono chiari.;noun, masculine, plural;goals;His goals are clear.;I suoi scopi sono chiari.;
tutta da sola;L'ha fatto {{c1::tutta da sola}}.;phrase;all by herself;She did it all by herself.;L'ha fatto tutta da sola.;
fosse;Se {{c1::fosse}} più alto, giocherebbe a basket.;verb, 3rd person singular, congiuntivo imperfetto;were;If he were taller, he would play basketball.;Se fosse più alto, giocherebbe a basket.;
tutto qui;È {{c1::tutto qui}}.;phrase;that's all;That's all.;È tutto qui.;
allegria;La {{c1::allegria}} è contagiosa.;noun, feminine, singular;joy;Joy is contagious.;La allegria è contagiosa.;
parente;Il mio {{c1::parente}} abita a Roma.;noun, masculine, singular;relative;My relative lives in Rome.;Il mio parente abita a Roma.;
pedalare;{{c1::Pedalare}} fa bene alla salute.;verb, infinitive;pedal;Pedaling is good for your health.;Pedalare fa bene alla salute.;
nipote;La mia {{c1::nipote}} ha cinque anni.;noun, feminine, singular;niece;My niece is five years old.;La mia nipote ha cinque anni.;
cose e successo;{{c1::Cose e successo}} nella vita.;phrase;things and success;Things and success in life.;Cose e successo nella vita.;
osceni;Quei gesti sono {{c1::osceni}}.;adj, masculine, plural;obscene;Those gestures are obscene.;Quei gesti sono osceni.;
stronzo;Non essere uno {{c1::stronzo}}.;noun, masculine, singular;asshole;Don't be an asshole.;Non essere uno stronzo.;
scordato;Ho {{c1::scordato}} le chiavi.;verb, past participle, masculine, singular;forgotten;I forgot the keys.;Ho scordato le chiavi.;
lottavi;{{c1::Lottavi}} per i tuoi diritti.;verb, 2nd person singular, imperfetto;fought;You fought for your rights.;Lottavi per i tuoi diritti.;
troppo;È {{c1::troppo}} tardi.;adv;too;It's too late.;È troppo tardi.;
brava;Sei molto {{c1::brava}} in matematica.;adj, feminine, singular;good;You're very good at math.;Sei molto brava in matematica.;
davanti;{{c1::Davanti}} alla casa c'è un giardino.;prep;in front of;In front of the house there's a garden.;Davanti alla casa c'è un giardino.;
sorridevamo;{{c1::Sorridevamo}} guardando le foto.;verb, 1st person plural, imperfetto;we were smiling;We were smiling while looking at the photos.;Sorridevamo guardando le foto.;
nittu;{{c1::Nittu}} è una parola dialettale.;noun, masculine, singular;night;Nittu is a dialectal word.;Nittu è una parola dialettale.;
lutto;La famiglia è in {{c1::lutto}}.;noun, masculine, singular;mourning;The family is in mourning.;La famiglia è in lutto.;
debosciata;È una persona {{c1::debosciata}}.;adj, feminine, singular;depraved;She's a depraved person.;È una persona debosciata.;
vattene;{{c1::Vattene}} via!;verb, 2nd person singular, imperativo;go away;Go away!;Vattene via!;
spaventare;Non {{c1::spaventare}} il bambino.;verb, infinitive;scare;Don't scare the child.;Non spaventare il bambino.;
bugiarda;È una {{c1::bugiarda}}.;noun, feminine, singular;liar;She's a liar.;È una bugiarda.;
stavamo;{{c1::Stavamo}} parlando quando è arrivato.;verb, 1st person plural, imperfetto;we were;We were talking when he arrived.;Stavamo parlando quando è arrivato.;
amati;I bambini sono {{c1::amati}} dai genitori.;verb, past participle, masculine, plural;loved;Children are loved by their parents.;I bambini sono amati dai genitori.;
somiglia;{{c1::Somiglia}} molto a sua madre.;verb, 3rd person singular, presente;resembles;He resembles his mother a lot.;Somiglia molto a sua madre.;
ladro;Il {{c1::ladro}} è stato arrestato.;noun, masculine, singular;thief;The thief was arrested.;Il ladro è stato arrestato.;
baglia;La {{c1::baglia}} è rotta.;noun, feminine, singular;bucket;The bucket is broken.;La baglia è rotta.;
cacchio;{{c1::Cacchio}} che bello!;interj;damn;Damn, how beautiful!;Cacchio che bello!;
ricordare;Non riesco a {{c1::ricordare}} il suo nome.;verb, infinitive;remember;I can't remember his name.;Non riesco a ricordare il suo nome.;
consigli;I suoi {{c1::consigli}} sono sempre utili.;noun, masculine, plural;advice;His advice is always useful.;I suoi consigli sono sempre utili.;
fermiamo;{{c1::Fermiamo}} qui per pranzo.;verb, 1st person plural, presente;let's stop;Let's stop here for lunch.;Fermiamo qui per pranzo.;
entrambi;{{c1::Entrambi}} i bambini giocano.;pronoun, masculine, plural;both;Both children are playing.;Entrambi i bambini giocano.;
subito;Vieni {{c1::subito}} qui!;adv;immediately;Come here immediately!;Vieni subito qui!;
pomata;Metti la {{c1::pomata}} sulla ferita.;noun, feminine, singular;ointment;Put the ointment on the wound.;Metti la pomata sulla ferita.;
spalle;Le mie {{c1::spalle}} fanno male.;noun, feminine, plural;shoulders;My shoulders hurt.;Le mie spalle fanno male.;
la salute;{{c1::La salute}} è importante.;noun, feminine, singular;health;Health is important.;La salute è importante.;
devi;{{c1::Devi}} studiare di più.;verb, 2nd person singular, presente;you must;You must study more.;Devi studiare di più.;
equilibrio;Mantieni l'{{c1::equilibrio}}.;noun, masculine, singular;balance;Keep your balance.;Mantieni l'equilibrio.;
salute;{{c1::Salute}} a tutti!;noun, feminine, singular;health;Cheers everyone!;Salute a tutti!;
alcol;L'{{c1::alcol}} fa male.;noun, masculine, singular;alcohol;Alcohol is bad for you.;L'alcol fa male.;
consigliare;Ti {{c1::consigliare}} di riposare.;verb, infinitive;advise;I advise you to rest.;Ti consigliare di riposare.;
schermi;Gli {{c1::schermi}} sono troppo piccoli.;noun, masculine, plural;screens;The screens are too small.;Gli schermi sono troppo piccoli.;
ospedale;Vado all'{{c1::ospedale}}.;noun, masculine, singular;hospital;I'm going to the hospital.;Vado all'ospedale.;
pronto soccorso;Il {{c1::pronto soccorso}} è al primo piano.;noun, masculine, singular;emergency room;The emergency room is on the first floor.;Il pronto soccorso è al primo piano.;
studio medico;Il {{c1::studio medico}} è chiuso.;noun, masculine, singular;medical practice;The medical practice is closed.;Il studio medico è chiuso.;
ambulatorio;L'{{c1::ambulatorio}} apre alle nove.;noun, masculine, singular;clinic;The clinic opens at nine.;L'ambulatorio apre alle nove.;
farmacia;La {{c1::farmacia}} è in centro.;noun, feminine, singular;pharmacy;The pharmacy is downtown.;La farmacia è in centro.;
ricetta medica;Ho la {{c1::ricetta medica}}.;noun, feminine, singular;medical prescription;I have the medical prescription.;Ho la ricetta medica.;
medicine;Le {{c1::medicine}} sono costose.;noun, feminine, plural;medicines;Medicines are expensive.;Le medicine sono costose.;
farmaci;I {{c1::farmaci}} sono nel cassetto.;noun, masculine, plural;medications;The medications are in the drawer.;I farmaci sono nel cassetto.;
prescrizione;La {{c1::prescrizione}} è scaduta.;noun, feminine, singular;prescription;The prescription has expired.;La prescrizione è scaduta.;
piramide alimentare;La {{c1::piramide alimentare}} mostra i cibi sani.;noun, feminine, singular;food pyramid;The food pyramid shows healthy foods.;La piramide alimentare mostra i cibi sani.;
solito;Come {{c1::solito}}, arriva tardi.;adj, masculine, singular;usual;As usual, he arrives late.;Come solito, arriva tardi.;
salutari;I cibi {{c1::salutari}} sono importanti.;adj, masculine, plural;healthy;Healthy foods are important.;I cibi salutari sono importanti.;
roba;Questa {{c1::roba}} non serve.;noun, feminine, singular;stuff;This stuff is useless.;Questa roba non serve.;
fidanzato;Il mio {{c1::fidanzato}} è gentile.;noun, masculine, singular;boyfriend;My boyfriend is kind.;Il mio fidanzato è gentile.;
soprattutto;{{c1::Soprattutto}} la matematica.;adv;especially;Especially mathematics.;Soprattutto la matematica.;
per lo più;{{c1::Per lo più}} vado in bici.;phrase;mostly;I mostly go by bike.;Per lo più vado in bici.;
comune;È un problema {{c1::comune}}.;adj, masculine, singular;common;It's a common problem.;È un problema comune.;
almeno;{{c1::Almeno}} tre persone.;adv;at least;At least three people.;Almeno tre persone.;
tradizioni;Le {{c1::tradizioni}} sono importanti.;noun, feminine, plural;traditions;Traditions are important.;Le tradizioni sono importanti.;
malpasto;Il {{c1::malpasto}} è stato terribile.;noun, masculine, singular;bad meal;The bad meal was terrible.;Il malpasto è stato terribile.;
prospettive;Le {{c1::prospettive}} sono buone.;noun, feminine, plural;prospects;The prospects are good.;Le prospettive sono buone.;
vi chiedo;{{c1::Vi chiedo}} di aspettare.;phrase;I ask you;I ask you to wait.;Vi chiedo di aspettare.;
per niente;Non mi piace {{c1::per niente}}.;phrase;not at all;I don't like it at all.;Non mi piace per niente.;
mettere;{{c1::Mettere}} i libri sulla scrivania.;verb, infinitive;put;Put the books on the desk.;Mettere i libri sulla scrivania.;
panna;La {{c1::panna}} è fresca.;noun, feminine, singular;cream;The cream is fresh.;La panna è fresca.;
tradurre;Devo {{c1::tradurre}} questo testo.;verb, infinitive;translate;I need to translate this text.;Devo tradurre questo testo.;
mescola;{{c1::Mescola}} gli ingredienti.;verb, 2nd person singular, imperativo;mix;Mix the ingredients.;Mescola gli ingredienti.;
compra;{{c1::Compra}} il pane.;verb, 2nd person singular, imperativo;buy;Buy the bread.;Compra il pane.;
taglia;Che {{c1::taglia}} porti?;noun, feminine, singular;size;What size do you wear?;Che taglia porti?;
prendi;{{c1::Prendi}} le chiavi.;verb, 2nd person singular, imperativo;take;Take the keys.;Prendi le chiavi.;
metti;{{c1::Metti}} il cappotto.;verb, 2nd person singular, imperativo;put on;Put on your coat.;Metti il cappotto.;
arriviamo;{{c1::Arriviamo}} domani.;verb, 1st person plural, presente;we arrive;We arrive tomorrow.;Arriviamo domani.;
viso;Il suo {{c1::viso}} è bello.;noun, masculine, singular;face;His face is beautiful.;Il suo viso è bello.;
uguale;Sono {{c1::uguale}}.;adj, masculine, singular;equal;They are equal.;Sono uguale.;
scherzo;È uno {{c1::scherzo}}.;noun, masculine, singular;joke;It's a joke.;È uno scherzo.;
delitto;Il {{c1::delitto}} è grave.;noun, masculine, singular;crime;The crime is serious.;Il delitto è grave.;
arrabbiato;Sono {{c1::arrabbiato}}.;adj, masculine, singular;angry;I'm angry.;Sono arrabbiato.;
sarà;{{c1::Sarà}} una bella giornata.;verb, 3rd person singular, futuro;will be;It will be a beautiful day.;Sarà una bella giornata.;
preoccuparti;Non {{c1::preoccuparti}}.;verb, infinitive;worry;Don't worry.;Non preoccuparti.;
supposizione;È solo una {{c1::supposizione}}.;noun, feminine, singular;supposition;It's just a supposition.;È solo una supposizione.;
esprimere;Devo {{c1::esprimere}} la mia opinione.;verb, infinitive;express;I need to express my opinion.;Devo esprimere la mia opinione.;
incerto;Il risultato è {{c1::incerto}}.;adj, masculine, singular;uncertain;The result is uncertain.;Il risultato è incerto.;
dubbio;Ho un {{c1::dubbio}}.;noun, masculine, singular;doubt;I have a doubt.;Ho un dubbio.;
parare;Devo {{c1::parare}} il colpo.;verb, infinitive;parry;I need to parry the blow.;Devo parare il colpo.;
capito;Ho {{c1::capito}} tutto.;verb, past participle, masculine, singular;understood;I understood everything.;Ho capito tutto.;
spesso;Vado {{c1::spesso}} al cinema.;adv;often;I often go to the cinema.;Vado spesso al cinema.;
sottocutaneo;L'iniezione è {{c1::sottocutaneo}}.;adj, masculine, singular;subcutaneous;The injection is subcutaneous.;L'iniezione è sottocutaneo.;
pelle;La {{c1::pelle}} è sensibile.;noun, feminine, singular;skin;The skin is sensitive.;La pelle è sensibile.;
collegato;Il computer è {{c1::collegato}}.;verb, past participle, masculine, singular;connected;The computer is connected.;Il computer è collegato.;
corrente;La {{c1::corrente}} è forte.;noun, feminine, singular;current;The current is strong.;La corrente è forte.;
scaricheremo;{{c1::Scaricheremo}} i file domani.;verb, 1st person plural, futuro;we will download;We will download the files tomorrow.;Scaricheremo i file domani.;
chiavetta;Ho perso la {{c1::chiavetta}}.;noun, feminine, singular;USB stick;I lost the USB stick.;Ho perso la chiavetta.;
gireremo;{{c1::Gireremo}} il film.;verb, 1st person plural, futuro;we will shoot;We will shoot the film.;Gireremo il film.;
credo;{{c1::Credo}} che sia vero.;verb, 1st person singular, presente;I believe;I believe it's true.;Credo che sia vero.;
pericolo;C'è {{c1::pericolo}}.;noun, masculine, singular;danger;There is danger.;C'è pericolo.;
rabbatte;{{c1::Rabbatte}} il cappello.;verb, 2nd person singular, imperativo;pull down;Pull down your hat.;Rabbatte il cappello.;
eravamo;{{c1::Eravamo}} in vacanza.;verb, 1st person plural, imperfetto;we were;We were on vacation.;Eravamo in vacanza.;
accordo;Siamo d'{{c1::accordo}}.;noun, masculine, singular;agreement;We are in agreement.;Siamo d'accordo.;
secondo;{{c1::Secondo}} me, hai ragione.;prep;according to;According to me, you're right.;Secondo me, hai ragione.;
tolgono;{{c1::Tolgono}} i piatti.;verb, 3rd person plural, presente;they remove;They remove the dishes.;Tolgono i piatti.;
fattori;I {{c1::fattori}} sono importanti.;noun, masculine, plural;factors;The factors are important.;I fattori sono importanti.;
minoranze linguistiche;Le {{c1::minoranze linguistiche}} sono protette.;noun, feminine, plural;linguistic minorities;Linguistic minorities are protected.;Le minoranze linguistiche sono protette.;
ceppo linguistico;Il {{c1::ceppo linguistico}} è antico.;noun, masculine, singular;language family;The language family is ancient.;Il ceppo linguistico è antico.;
eredità;La {{c1::eredità}} è grande.;noun, feminine, singular;heritage;The heritage is great.;La eredità è grande.;
eliminare;Devo {{c1::eliminare}} questo file.;verb, infinitive;eliminate;I need to eliminate this file.;Devo eliminare questo file.;
cancellare;{{c1::Cancellare}} il testo.;verb, infinitive;delete;Delete the text.;Cancellare il testo.;
diversi;Abbiamo {{c1::diversi}} libri.;adj, masculine, plural;several;We have several books.;Abbiamo diversi libri.;
espetta;{{c1::Espetta}} un momento.;verb, 2nd person singular, imperativo;wait;Wait a moment.;Espetta un momento.;
lingue di minoranza;Le {{c1::lingue di minoranza}} sono tutelate.;noun, feminine, plural;minority languages;Minority languages are protected.;Le lingue di minoranza sono tutelate.;
linguaggio dei segni;Il {{c1::linguaggio dei segni}} è importante.;noun, masculine, singular;sign language;Sign language is important.;Il linguaggio dei segni è importante.;
aggiungere;Devo {{c1::aggiungere}} il sale.;verb, infinitive;add;I need to add salt.;Devo aggiungere il sale.;
ungherese;Parlo {{c1::ungherese}}.;adj, masculine, singular;Hungarian;I speak Hungarian.;Parlo ungherese.;
contre;{{c1::Contre}} la parete.;prep;against;Against the wall.;Contre la parete.;
istruzione;L'{{c1::istruzione}} è gratuita.;noun, feminine, singular;education;Education is free.;L'istruzione è gratuita.;
riguarda;Questo {{c1::riguarda}} tutti.;verb, 3rd person singular, presente;concerns;This concerns everyone.;Questo riguarda tutti.;
rivedremo;{{c1::Rivedremo}} il progetto.;verb, 1st person plural, futuro;we will review;We will review the project.;Rivedremo il progetto.;
davvero;È {{c1::davvero}} bello.;adv;really;It's really beautiful.;È davvero bello.;
ulivi e vigneti;Gli {{c1::ulivi e vigneti}} sono tipici.;noun, masculine, plural;olive trees and vineyards;Olive trees and vineyards are typical.;Gli ulivi e vigneti sono tipici.;
rompigetto;Il {{c1::rompigetto}} è rotto.;noun, masculine, singular;faucet aerator;The faucet aerator is broken.;Il rompigetto è rotto.;
arredamento;L'{{c1::arredamento}} è moderno.;noun, masculine, singular;furniture;The furniture is modern.;L'arredamento è moderno.;
immobili;Gli {{c1::immobili}} sono costosi.;noun, masculine, plural;real estate;Real estate is expensive.;Gli immobili sono costosi.;
cascina;La {{c1::cascina}} è antica.;noun, feminine, singular;farmhouse;The farmhouse is old.;La cascina è antica.;
condominio;Vivo in un {{c1::condominio}}.;noun, masculine, singular;condominium;I live in a condominium.;Vivo in un condominio.;
villetta a schiera;La {{c1::villetta a schiera}} è nuova.;noun, feminine, singular;townhouse;The townhouse is new.;La villetta a schiera è nuova.;
palazzo;Il {{c1::palazzo}} è alto.;noun, masculine, singular;building;The building is tall.;Il palazzo è alto.;
sogni;I {{c1::sogni}} sono belli.;noun, masculine, plural;dreams;Dreams are beautiful.;I sogni sono belli.;
albero;L'{{c1::albero}} è grande.;noun, masculine, singular;tree;The tree is big.;L'albero è grande.;
abbastanza;Sono {{c1::abbastanza}} stanco.;adv;quite;I'm quite tired.;Sono abbastanza stanco.;
vicino;Abito {{c1::vicino}} alla scuola.;adv;near;I live near the school.;Abito vicino alla scuola.;
scegliamo;{{c1::Scegliamo}} il ristorante.;verb, 1st person plural, presente;we choose;We choose the restaurant.;Scegliamo il ristorante.;
tanto;{{c1::Tanto}} tempo fa.;adv;so long;So long ago.;Tanto tempo fa.;
segreteria;La {{c1::segreteria}} è chiusa.;noun, feminine, singular;secretariat;The secretariat is closed.;La segreteria è chiusa.;
segretaria;La {{c1::segretaria}} è efficiente.;noun, feminine, singular;secretary;The secretary is efficient.;La segretaria è efficiente.;
macchina da scrivere;La {{c1::macchina da scrivere}} è vecchia.;noun, feminine, singular;typewriter;The typewriter is old.;La macchina da scrivere è vecchia.;
registratore vocale;Il {{c1::registratore vocale}} funziona.;noun, masculine, singular;voice recorder;The voice recorder works.;Il registratore vocale funziona.;
sarà;Lui {{c1::sarà}} qui domani.;verb, 3rd person singular, futuro;will be;He will be here tomorrow.;Lui sarà qui domani.;
abbastanza;Sono {{c1::abbastanza}} stanco oggi.;adv;quite;I'm quite tired today.;Sono abbastanza stanco oggi.;
accogliente;Questa casa è molto {{c1::accogliente}}.;adj, feminine, singular;welcoming;This house is very welcoming.;Questa casa è molto accogliente.;
accogliere;Dobbiamo {{c1::accogliere}} i nuovi studenti.;verb, infinitive;welcome;We must welcome the new students.;Dobbiamo accogliere i nuovi studenti.;
accordo;Siamo d'{{c1::accordo}} su questo punto.;noun, masculine, singular;agreement;We are in agreement on this point.;Siamo d'accordo su questo punto.;
accorgere;Non mi sono {{c1::accorto}} dell'errore.;verb, past participle, masculine, singular;noticed;I didn't notice the mistake.;Non mi sono accorto dell'errore.;
affascinante;È una persona molto {{c1::affascinante}}.;adj, feminine, singular;fascinating;She's a very fascinating person.;È una persona molto affascinante.;
affiancare;Devo {{c1::affiancare}} il nuovo collega.;verb, infinitive;support;I need to support the new colleague.;Devo affiancare il nuovo collega.;
affittare;Voglio {{c1::affittare}} un appartamento.;verb, infinitive;rent;I want to rent an apartment.;Voglio affittare un appartamento.;
aggiudicare;Hanno {{c1::aggiudicato}} il contratto.;verb, past participle, masculine, plural;awarded;They awarded the contract.;Hanno aggiudicato il contratto.;
aggiungere;Devo {{c1::aggiungere}} il sale alla pasta.;verb, infinitive;add;I need to add salt to the pasta.;Devo aggiungere il sale alla pasta.;
albero;L'{{c1::albero}} è molto alto.;noun, masculine, singular;tree;The tree is very tall.;L'albero è molto alto.;
alcol;L'{{c1::alcol}} fa male alla salute.;noun, masculine, singular;alcohol;Alcohol is bad for your health.;L'alcol fa male alla salute.;
alcuno;Non ho {{c1::alcuno}} problema.;pronoun, masculine, singular;any;I don't have any problem.;Non ho alcuno problema.;
alcuno;{{c1::Alcuno}} di voi conosce la risposta?;pronoun, masculine, singular;anyone;Does anyone of you know the answer?;Alcuno di voi conosce la risposta?;
alimentare;La dieta {{c1::alimentare}} è importante.;adj, feminine, singular;dietary;The dietary diet is important.;La dieta alimentare è importante.;
